block_name,room_number,capacity
London Block,LT01,90
London Block,LT02,90
London Block,LT03,90
London Block,LT04,90
London Block,LT05,90
London Block,LT06,32
London Block,LT07,32
London Block,LT08,32
London Block,LT09,32
London Block,LT10,32
Himal Block,TR01,40
Himal Block,TR02,40
Himal Block,TR03,40
Himal Block,TR04,40
Himal Block,TR05,40
Himal Block,TR06,40
Himal Block,TR07,40
Himal Block,TR08,40
Himal Block,TR09,40
Skill Block,TR10,40
Skill Block,TR11,40
Skill Block,TR12,40
Skill Block,TR13,40
Skill Block,TR14,40
Skill Block,TR15,40
Alumni Block,SR01,50
Alumni Block,SR02,60
Alumni Block,SR03,50
Alumni Block,SR04,60
Alumni Block,SR05,50
Alumni Block,SR06,60
Alumni Block,SR07,50
Alumni Block,SR08,60
Alumni Block,SR09,50
Alumni Block,SR10,60
