Day,Time Slot,Group,Section / Cohort,Class Type,Module Code,Module Title,Lecturer / Teacher,Room,Duration (Hrs)
SUN,07:00 AM - 08:30 AM,BBA,BBA1+BBA2+BBA3+BBA4+BBA5,Lecture,BB5001NI,Financial Accounting & Management,Ms. Kalpana Karki,LT 1,1.5
SUN,07:00 AM - 09:00 AM,AI,AI3,Workshop,CS5003NI,Data Structure and Specialist Programming,Mr. Rabin Adhikari,SR 1,2.0
SUN,07:00 AM - 09:00 AM,Multimedia,Multimedia1,Workshop,MM5002NI,Digital Video Post-Production,Mr. Nirakar KC,SR 10,2.0
SUN,07:00 AM - 09:00 AM,AI,AI5,Workshop,CS5003NI,Data Structure and Specialist Programming,Dr. Milan Sharma,SR 2,2.0
SUN,07:00 AM - 09:00 AM,AI,AI7,Workshop,CS5003NI,Data Structure and Specialist Programming,Mr. Sudip Dahal,SR 3,2.0
SUN,07:00 AM - 09:00 AM,BBA,BBA8,Workshop,BB5001NI,Financial Accounting & Management,Mr. Suman Silwal,SR 4,2.0
SUN,07:00 AM - 09:00 AM,BBA,BBA9,Workshop,BB5001NI,Financial Accounting & Management,Mr. Harihar Prasai,SR 5,2.0
SUN,07:00 AM - 09:00 AM,Computing,Computing1,Workshop,CS5001NI,Computer Networks and Security,Mr. Dipesh Regmi,SR 6,2.0
SUN,07:00 AM - 09:00 AM,Computing,Computing2,Workshop,CS5001NI,Computer Networks and Security,Mr. Ramesh Karki,SR 7,2.0
SUN,07:00 AM - 09:00 AM,Computing,Computing3,Workshop,CS5001NI,Computer Networks and Security,Ms. Srijana Gurung,SR 8,2.0
SUN,07:00 AM - 09:00 AM,Computing,Computing5,Workshop,CS5001NI,Computer Networks and Security,Dr. Niraj Shrestha,SR 9,2.0
SUN,07:00 AM - 09:00 AM,Multimedia,Multimedia2,Workshop,MM5002NI,Digital Video Post-Production,Mr. Paras Hamal,TR 1,2.0
SUN,07:00 AM - 09:00 AM,Multimedia,Multimedia3,Workshop,MM5002NI,Digital Video Post-Production,Ms. Anuja Maharjan,TR 2,2.0
SUN,07:00 AM - 09:00 AM,Multimedia,Multimedia4,Workshop,MM5003NI,User Experience & Interface Design,Ms. Pragya Karmacharya,TR 3,2.0
SUN,07:00 AM - 09:00 AM,Multimedia,Multimedia5,Workshop,MM5003NI,User Experience & Interface Design,Ms. Rashmi Bajracharya,TR 4,2.0
SUN,07:00 AM - 08:00 AM,AI,AI1,Tutorial,CC5051NI,Databases,Mr. Pradeep Pokharel,TR 5,1.0
SUN,07:00 AM - 08:00 AM,AI,AI6,Tutorial,CC5051NI,Databases,Ms. Sunita Gautam,TR 6,1.0
